split,candidate_model,condition,template_id,rows,clusters,score_mean,score_sd_rows,score_median,score_ci_low,score_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,parse_error_rate,causal_marker_rate,high_quality_rate,perfect_score_rate
abductive,Qwen2.5-7B,A,1,397,397,0.7551637279596978,0.17380119228184965,0.8,0.7380148795788591,0.7723125763405364,0.7531486146095718,0.7105507337180973,0.7957464955010464,0.010075566750629723,0.9748110831234257,0.7556675062972292,0.15113350125944586
abductive,Qwen2.5-7B,A,2,397,397,0.7476070528967255,0.18822822690732782,0.8,0.7290346985771231,0.7661794072163278,0.6448362720403022,0.5975572045815019,0.6921153394991026,0.0,0.9722921914357683,0.72544080604534,0.17380352644836272
abductive,Qwen2.5-7B,A,3,397,397,0.6695214105793451,0.20351214857149696,0.8,0.6494410018451424,0.6896018193135478,0.6574307304785895,0.6105462540248202,0.7043152069323587,0.03526448362720403,1.0,0.5793450881612091,0.06801007556675064
abductive,Qwen2.5-7B,A,4,397,397,0.7062972292191436,0.2157571640894915,0.8,0.6850086129244395,0.7275858455138478,0.6851385390428212,0.639252684784464,0.7310243933011784,0.0025188916876574307,0.9899244332493703,0.654911838790932,0.1486146095717884
abductive,Qwen2.5-7B,A,5,397,397,0.722418136020151,0.22524105263354258,0.8,0.700193750732338,0.744642521307964,0.6675062972292192,0.620963844595581,0.7140487498628574,0.04030226700251889,0.8564231738035264,0.6876574307304786,0.19143576826196473
abductive,Qwen2.5-7B,B,1,397,397,0.7793450881612091,0.16659566459522296,0.8,0.7629072044186425,0.7957829719037757,0.7531486146095718,0.7105507337180973,0.7957464955010464,0.0,0.9924433249370277,0.818639798488665,0.18639798488664988
abductive,Qwen2.5-7B,B,2,397,397,0.7869017632241813,0.16826423100670307,0.8,0.770299243140355,0.8035042833080075,0.7531486146095718,0.7105507337180973,0.7957464955010464,0.0,0.982367758186398,0.818639798488665,0.2141057934508816
abductive,Qwen2.5-7B,B,3,397,397,0.7425692695214106,0.1761726895066327,0.8,0.725186427082134,0.7599521119606871,0.7531486146095718,0.7105507337180973,0.7957464955010464,0.0,1.0,0.7355163727959698,0.12342569269521411
abductive,Qwen2.5-7B,B,4,397,397,0.788413098236776,0.15097912970268682,0.8,0.77351608763547,0.803310108838082,0.7556675062972292,0.71321670842083,0.7981183041736285,0.0,0.9949622166246851,0.8639798488664987,0.163727959697733
abductive,Qwen2.5-7B,B,5,397,397,0.7843828715365239,0.1736649930379896,0.8,0.7672474618447522,0.8015182812282955,0.7531486146095718,0.7105507337180973,0.7957464955010464,0.0,0.9345088161209067,0.8161209068010076,0.2141057934508816
control,Llama-3.1-8B,A,1,30,30,0.98,0.10954451150103324,1.0,0.939095407157346,1.0209045928426541,1.0,1.0,1.0,0.0,0.9666666666666667,0.9666666666666667,0.9666666666666667
control,Llama-3.1-8B,A,2,30,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9,1.0,1.0
control,Llama-3.1-8B,A,3,30,30,0.9666666666666667,0.12954385047312086,1.0,0.9182941979207296,1.0150391354126036,0.9333333333333333,0.8385971600102016,1.0280695066564651,0.0,1.0,0.9333333333333333,0.9333333333333333
control,Llama-3.1-8B,A,4,30,30,0.9333333333333333,0.1516196087157807,1.0,0.8767176409859989,0.9899490256806678,1.0,1.0,1.0,0.0,1.0,0.9,0.8
control,Llama-3.1-8B,A,5,30,30,0.14666666666666667,0.25694938899664094,0.0,0.05072018797907675,0.2426131453542566,0.5666666666666667,0.3784673849181791,0.7548659484151542,0.9666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
control,Llama-3.1-8B,B,1,30,30,0.9933333333333334,0.036514837167011066,1.0,0.9796984690524487,1.0069681976142182,1.0,1.0,1.0,0.0,1.0,1.0,0.9666666666666667
control,Llama-3.1-8B,B,2,30,30,0.98,0.10954451150103324,1.0,0.939095407157346,1.0209045928426541,0.9666666666666667,0.8984923452622433,1.03484098807109,0.03333333333333333,0.9,0.9666666666666667,0.9666666666666667
control,Llama-3.1-8B,B,3,30,30,0.9466666666666668,0.1569830505529802,1.0,0.888048232223177,1.0052851011101567,1.0,1.0,1.0,0.0,1.0,0.9333333333333333,0.8666666666666667
control,Llama-3.1-8B,B,4,30,30,0.9666666666666667,0.07580980435789032,1.0,0.9383588204929995,0.9949745128403339,1.0,1.0,1.0,0.0,1.0,1.0,0.8333333333333334
control,Llama-3.1-8B,B,5,30,30,0.08000000000000002,0.09965457582448797,0.0,0.04278836983111082,0.11721163016888922,0.7,0.5259585363808446,0.8740414636191554,1.0,0.0,0.0,0.0
control,Qwen2.5-7B,A,1,30,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
control,Qwen2.5-7B,A,2,30,30,0.9933333333333334,0.036514837167011066,1.0,0.9796984690524487,1.0069681976142182,1.0,1.0,1.0,0.0,0.9666666666666667,1.0,0.9666666666666667
control,Qwen2.5-7B,A,3,30,30,0.9933333333333334,0.036514837167011066,1.0,0.9796984690524487,1.0069681976142182,1.0,1.0,1.0,0.0,1.0,1.0,0.9666666666666667
control,Qwen2.5-7B,A,4,30,30,0.9866666666666667,0.05074162634049247,1.0,0.9677194320020404,1.005613901331293,1.0,1.0,1.0,0.0,0.9666666666666667,1.0,0.9333333333333333
control,Qwen2.5-7B,A,5,30,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
control,Qwen2.5-7B,B,1,30,30,0.9933333333333334,0.036514837167011066,1.0,0.9796984690524487,1.0069681976142182,1.0,1.0,1.0,0.0,1.0,1.0,0.9666666666666667
control,Qwen2.5-7B,B,2,30,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9333333333333333,1.0,1.0
control,Qwen2.5-7B,B,3,30,30,0.98,0.10954451150103324,1.0,0.939095407157346,1.0209045928426541,1.0,1.0,1.0,0.0,0.9666666666666667,0.9666666666666667,0.9666666666666667
control,Qwen2.5-7B,B,4,30,30,0.9933333333333334,0.036514837167011066,1.0,0.9796984690524487,1.0069681976142182,1.0,1.0,1.0,0.0,1.0,1.0,0.9666666666666667
control,Qwen2.5-7B,B,5,30,30,0.9933333333333334,0.036514837167011066,1.0,0.9796984690524487,1.0069681976142182,1.0,1.0,1.0,0.0,1.0,1.0,0.9666666666666667
